AREA,ValidTimeUTC,SGFHGT,SGFPER
NPHAS_KAS,2021-12-06 00:00:00,1.6,14.0
NPHAS_KAS,2021-12-06 03:00:00,1.6,14.0
NPHAS_KAS,2021-12-06 06:00:00,1.6,14.0
NPHAS_KAS,2021-12-06 09:00:00,1.7,14.0
NPHAS_KAS,2021-12-06 12:00:00,1.7,13.0
NPHAS_KAS,2021-12-06 15:00:00,1.8,13.0
NPHAS_KAS,2021-12-06 18:00:00,1.8,13.0
NPHAS_KAS,2021-12-06 21:00:00,1.9,13.0
NPHAS_KAS,2021-12-07 00:00:00,2.0,5.0
NPHAS_KAS,2021-12-07 03:00:00,2.2,5.0
NPHAS_KAS,2021-12-07 06:00:00,2.3,5.0
NPHAS_KAS,2021-12-07 09:00:00,2.4,5.0
NPHAS_KAS,2021-12-07 12:00:00,2.7,5.0
NPHAS_KAS,2021-12-07 15:00:00,2.9,12.0
NPHAS_KAS,2021-12-07 18:00:00,3.1,12.0
NPHAS_KAS,2021-12-07 21:00:00,3.3,11.0
NPHAS_KAS,2021-12-08 00:00:00,3.5,11.0
NPHAS_KAS,2021-12-08 03:00:00,3.8,11.0
NPHAS_KAS,2021-12-08 06:00:00,4.0,11.0
NPHAS_KAS,2021-12-08 09:00:00,4.3,9.0
NPHAS_KAS,2021-12-08 12:00:00,4.7,10.0
NPHAS_KAS,2021-12-08 15:00:00,4.8,11.0
NPHAS_KAS,2021-12-08 18:00:00,4.7,11.0
NPHAS_KAS,2021-12-08 21:00:00,2.8,9.0
NPHAS_KAS,2021-12-09 00:00:00,2.8,9.0
NPHAS_KAS,2021-12-09 03:00:00,2.7,10.0
NPHAS_KAS,2021-12-09 06:00:00,2.7,10.0
NPHAS_KAS,2021-12-09 09:00:00,2.4,10.0
NPHAS_KAS,2021-12-09 12:00:00,2.3,11.0
NPHAS_KAS,2021-12-09 15:00:00,2.3,11.0
NPHAS_KAS,2021-12-09 18:00:00,2.3,13.0
NPHAS_KAS,2021-12-09 21:00:00,2.2,13.0
NPHAS_KAS,2021-12-10 00:00:00,2.2,13.0
NPHAS_KAS,2021-12-10 03:00:00,2.2,13.0
NPHAS_KAS,2021-12-10 06:00:00,2.1,13.0
NPHAS_KAS,2021-12-10 09:00:00,2.1,13.0
NPHAS_KAS,2021-12-10 12:00:00,2.0,13.0
NPHAS_KAS,2021-12-10 15:00:00,2.0,13.0
NPHAS_KAS,2021-12-10 18:00:00,1.9,13.0
NPHAS_KAS,2021-12-10 21:00:00,1.9,13.0
NPHAS_KAS,2021-12-11 00:00:00,1.8,13.0
NPHAS_KAS,2021-12-11 03:00:00,1.7,13.0
NPHAS_KAS,2021-12-11 06:00:00,1.7,13.0
NPHAS_KAS,2021-12-11 09:00:00,1.6,11.0
NPHAS_KAS,2021-12-11 12:00:00,1.5,11.0
NPHAS_KAS,2021-12-11 15:00:00,1.5,11.0
NPHAS_KAS,2021-12-11 18:00:00,1.4,11.0
NPHAS_KAS,2021-12-11 21:00:00,1.3,11.0
NPHAS_KAS,2021-12-12 00:00:00,1.3,11.0
NPHAS_KAS,2021-12-12 03:00:00,1.2,11.0
NPHAS_KAS,2021-12-12 06:00:00,1.1,11.0
NPHAS_KAS,2021-12-12 09:00:00,1.0,11.0
NPHAS_KAS,2021-12-12 12:00:00,1.0,11.0
NPHAS_KAS,2021-12-12 15:00:00,0.9,11.0
NPHAS_KAS,2021-12-12 18:00:00,0.8,11.0
NPHAS_KAS,2021-12-12 21:00:00,0.8,11.0
NPHAS_KAS,2021-12-13 00:00:00,0.7,11.0
NPHAS_KAS,2021-12-13 03:00:00,0.7,11.0
NPHAS_KAS,2021-12-13 06:00:00,0.7,11.0
NPHAS_KAS,2021-12-13 09:00:00,0.8,13.0
NPHAS_KAS,2021-12-13 12:00:00,0.9,13.0
NPHAS_KAS,2021-12-13 15:00:00,1.0,13.0
NPHAS_KAS,2021-12-13 18:00:00,1.0,13.0
NPHAS_KAS,2021-12-13 21:00:00,1.0,13.0
NPHAS_KAS,2021-12-14 00:00:00,0.8,13.0
NPHAS_KAS,2021-12-14 03:00:00,0.7,13.0
NPHAS_KAS,2021-12-14 06:00:00,0.5,13.0
NPHAS_KAS,2021-12-14 09:00:00,0.5,13.0
NPHAS_KAS,2021-12-14 12:00:00,0.4,13.0
